BLDG_NAME,ZIPCODE,SCH_NAME,SCH_TYPE,Location,Latitude,Longitude
Guild Bldg,2128,Guild Elementary,ES,"195 Leyden Street
East Boston, MA 02128
(42.38858425214491, -71.00402212328991)",42.3885842521,-71.0040221233
Kennedy  P Bldg,2128,Kennedy Patrick Elem,ES,"343 Saratoga Street
East Boston, MA 02128
(42.37857814268395, -71.03097975409406)",42.3785781427,-71.0309797541
Otis Bldg,2128,Otis Elementary,ES,"218 Marion Street
East Boston, MA 02128
(42.37500434488106, -71.03412606507948)",42.3750043449,-71.0341260651
Odonnell Bldg,2128,O'Donnell Elementary,ES,"33 Trenton Street
East Boston, MA 02128
(42.37820108219664, -71.03816152052767)",42.3782010822,-71.0381615205
East Boston High Bldg,2128,East Boston High,HS,"86 White Street
East Boston, MA 02128
(42.38061560446334, -71.03415354807602)",42.3806156045,-71.0341535481
Umana / Barnes Bldg,2128,Umana/ Alighieri K-8,K-8,"312 Border Street
East Boston, MA 02128
(42.3784481460674, -71.0400750003554)",42.3784481461,-71.0400750004
East Boston Eec Bldg,2128,East Boston EEC,ELC,"135 Gove Street
East Boston, MA 02128
(42.36984203380487, -71.03422832023752)",42.3698420338,-71.0342283202
Mckay Bldg,2128,McKay K-8,K-8,"122 Cottage Street
East Boston, MA 02128
(42.36880873159441, -71.03425986004385)",42.3688087316,-71.03425986
Adams Bldg,2128,Adams Elementary,ES,"165 Webster Street
East Boston, MA 02128
(42.365693168678405, -71.03483332668918)",42.3656931687,-71.0348333267
Harvard-Kent,2129,Harvard/Kent Elem,ES,"50 Bunker Hill Street
Charlestown, MA 02129
(42.376681828192694, -71.0570049807273)",42.3766818282,-71.0570049807
Charlestown High Bldg #1 -  Main,2129,Charlestown High,HS,"240 Medford Street
Charlestown, MA 02129
(42.38043624993804, -71.06079096324822)",42.3804362499,-71.0607909632
Edwards Bldg,2129,Edwards Middle,MS,"28 Walker Street
Charlestown, MA 02129
(42.37902847477898, -71.06702234757459)",42.3790284748,-71.0670223476
Warren-Prescott Bldg,2129,Warren/Prescott,K-8,"50 School Street
Charlestown, MA 02129
(42.37815197198364, -71.0640734886552)",42.378151972,-71.0640734887
Eliot Bldg,2113,Eliot K-8,K-8,"16 Charter Street
Boston, MA 02113
(42.36618199577367, -71.0532456514224)",42.3661819958,-71.0532456514
Abraham Lincoln Building,2116,Quincy Upper School,6th-12,"152 Arlington Street
Boston, MA 02116
(42.34854790278255, -71.06923626165974)",42.3485479028,-71.0692362617
Boston HS Bldg,2111,Quincy Lower (K-5),ES,"885 Washington Street
Boston, MA 02111
(42.34828548739057, -71.06419939373927)",42.3482854874,-71.0641993937
Snowden Hs Bldg,2116,Snowden International,HS,"150 Newbury Street
Boston, MA 02116
(42.35074063653059, -71.0780399597702)",42.3507406365,-71.0780399598
Mckinley Mackey Bldg,2116,McKinley Elementary,Special,"90 Warren Avenue
Boston, MA 02116
(42.344499341647236, -71.07359730894547)",42.3444993416,-71.0735973089
